City Name,City ID,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
sabha,2212775,27.0377,14.4283,289.24,32,6,5.76,LY,10/01/2021
puerto carreno,3671519,6.189,-67.4859,297.79,86,67,1.61,CO,10/01/2021
yar-sale,1486321,66.8333,70.8333,244.82,88,86,4.81,RU,10/01/2021
kahului,5847411,20.8947,-156.47,297.15,73,75,3.09,US,10/01/2021
beringovskiy,2126710,63.05,179.3167,247.07,87,100,5.45,RU,10/01/2021
nanortalik,3421765,60.1432,-45.2371,272.69,91,100,2.42,GL,10/01/2021
leshukonskoye,535839,64.8989,45.7622,255.27,93,74,2.41,RU,10/01/2021
barabai,1650064,-2.5833,115.3833,304.94,62,71,1.2,ID,10/01/2021
xai-xai,1024552,-25.0519,33.6442,295.17,86,2,1.26,MZ,10/01/2021
general roca,3855065,-39.0333,-67.5833,291.15,48,0,3.09,AR,10/01/2021
ust-nera,2120048,64.5667,143.2,236.76,73,62,0.82,RU,10/01/2021
tibagi,3446550,-24.5094,-50.4136,292.94,93,93,1.52,BR,10/01/2021
yuli,2317982,9.6989,10.2744,293.65,24,39,2.96,NG,10/01/2021
arona,2521582,28.0996,-16.681,287.15,67,20,3.09,ES,10/01/2021
lagoa,3372964,39.05,-27.9833,287.26,67,97,4.89,PT,10/01/2021
biak,1637001,-0.9131,122.8766,302.98,64,4,0.74,ID,10/01/2021
cabedelo,3404558,-6.9811,-34.8339,297.15,88,0,4.93,BR,10/01/2021
fukue,1863997,32.6881,128.8419,276.15,75,75,2.06,JP,10/01/2021
nhulunbuy,2064735,-12.2333,136.7667,305.15,66,75,6.69,AU,10/01/2021
shache,1280037,38.4167,77.2406,265.21,81,0,3.04,CN,10/01/2021
vila franca do campo,3372472,37.7167,-25.4333,283.15,71,40,1.54,PT,10/01/2021
antofagasta,3899539,-23.65,-70.4,291.15,88,75,4.63,CL,10/01/2021
luganville,2136150,-15.5333,167.1667,301.83,79,100,2.78,VU,10/01/2021
mirnyy,2019951,62.5353,113.9611,240.06,84,0,1.29,RU,10/01/2021
khatanga,2022572,71.9667,102.5,238.23,85,9,2.86,RU,10/01/2021
college,5859699,64.8569,-147.8028,260.15,78,75,1.54,US,10/01/2021
ahuimanu,5856516,21.4447,-157.8378,299.15,69,90,3.6,US,10/01/2021
deputatskiy,2028164,69.3,139.9,242.74,88,100,1.07,RU,10/01/2021
horodnytsya,708324,50.807,27.3168,271.48,98,94,4.29,UA,10/01/2021
lebu,3883457,-37.6167,-73.65,285.45,90,3,3.24,CL,10/01/2021
shimoda,1852357,34.6667,138.95,281.15,39,20,3.09,JP,10/01/2021
roald,3141667,62.5833,6.1333,274.26,86,75,11.83,NO,10/01/2021
mehamn,778707,71.0357,27.8492,264.25,93,4,8.3,NO,10/01/2021
kerman,128234,30.2832,57.0788,263.15,44,0,2.06,IR,10/01/2021
gourcy,2360238,13.2167,-2.35,296.03,21,0,3.63,BF,10/01/2021
lagos,2332453,6.5833,3.75,299.15,94,40,1.03,NG,10/01/2021
artvin,751816,41.1667,41.8333,285.15,40,0,10.29,TR,10/01/2021
bambous virieux,1106677,-20.3428,57.7575,300.93,83,75,4.12,MU,10/01/2021
phimai,1607716,15.2232,102.4947,295.15,73,0,2.57,TH,10/01/2021
oistins,3373652,13.0667,-59.5333,299.15,78,40,9.77,BB,10/01/2021
nome,5870133,64.5011,-165.4064,250.15,70,1,3.09,US,10/01/2021
anton lizardo,3532821,19.05,-95.9833,293.15,88,90,5.87,MX,10/01/2021
roma,5134295,43.2128,-75.4557,267.59,86,1,2.63,US,10/01/2021
